term,campus,subject,catalog_number,section,class_number,course_title,topic,component,career,meeting_days,meeting_times,meeting_location,instructor,seats_available,seats_total,waitlist_available,status,academic_session,meeting_dates,notes,detail_url,retrieved_at,related_to
Spring 2027,University Park,MATH,555,001,27262,Numerical Optimization Techniques,,LEC,GRAD,M W F,11:15 AM-12:05 PM,McAllister Bldg 113,Ludmil Zikatanov,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=012800&CRSE_OFFER_NBR=2&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27262&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,565,001,27263,Foundations of Mathematics II,,LEC,GRAD,M W F,3:35 PM-4:25 PM,McAllister Bldg 113,Linda Westrick,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029702&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27263&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,571,001,27264,Analytic Number Theory I,,LEC,GRAD,T Th,9:05 AM-10:20 AM,McAllister Bldg 113,Amita Malik,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029708&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27264&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,572,001,27265,Analytic Number Theory II,,LEC,GRAD,M W F,1:25 PM-2:15 PM,McAllister Bldg 113,Naser Talebizadeh Sardari,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029709&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27265&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,001,21195,Individual Studies,,IND,GRAD,,,,Wenrui Hao,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21195&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,002,21196,Individual Studies,,IND,GRAD,,,,Izabella Stuhl,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21196&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,003,21197,Individual Studies,,IND,GRAD,,,,James Brannick,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21197&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,004,21215,Individual Studies,,IND,GRAD,,,,Peter Morfe,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21215&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,005,21216,Individual Studies,,IND,GRAD,,,,Federico Rodriguez Hertz,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21216&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,006,21217,Individual Studies,,IND,GRAD,,,,Jairo Bochi,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21217&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,007,21218,Individual Studies,,IND,GRAD,,,,Mihran Papikian,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21218&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,008,21219,Individual Studies,,IND,GRAD,,,,Nigel Higson,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21219&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,009,21220,Individual Studies,,IND,GRAD,,,,Shabnam Akhtari,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21220&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,010,21221,Individual Studies,,IND,GRAD,,,,Jan Reimann,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21221&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,011,21222,Individual Studies,,IND,GRAD,,,,Jonathan DeWitt,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21222&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,012,21223,Individual Studies,,IND,GRAD,,,,Jan Reimann,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21223&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,013,21224,Individual Studies,,IND,GRAD,,,,John Lesieutre,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21224&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,014,21225,Individual Studies,,IND,GRAD,,,,Yuriy Zarkhin,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21225&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,015,21226,Individual Studies,,IND,GRAD,,,,Jessica Conway,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21226&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,016,21227,Individual Studies,,IND,GRAD,,,,Mark Levi,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21227&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,017,21228,Individual Studies,,IND,GRAD,,,,Mathieu Stienon,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21228&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,596,018,21229,Individual Studies,,IND,GRAD,,,,Anna Mazzucato,,,,Closed,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029743&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21229&SSR_COMPONENT=IND,2026-09-18T13:37:47-04:00,
